baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_758849 31.8317553616187 -8.28004988224397 1.50421202260146 -5.50457632157737 3.70057123194896e-08 6.01990425157297e-06 RTJK_DROME
evgLocus_5517 75.6850595508523 -7.62540889919402 1.3868294421534 -5.49844751446411 3.83149544594027e-08 6.15593601647737e-06 RTBS_DROME
evgLocus_238041 43.2433232616227 -8.72213589811592 1.5906597091616 -5.48334495925162 4.1735805710689e-08 6.62377775023057e-06 .
evgLocus_463997 87.6701776564657 -4.94835201966032 0.913377053216925 -5.41764433673056 6.03893938318305e-08 9.46876591960774e-06 .
evgLocus_663555 4639.38938898845 -4.2245899051083 0.786378840458669 -5.372206992045 7.77787508697084e-08 1.20501507597427e-05 RL32_SPOFR
evgLocus_225808 34.5335936347186 -7.43219643342881 1.40363266489567 -5.29497255179739 1.19034288729633e-07 1.82248498062052e-05 .
evgLocus_160981 21.1529796186478 -7.69269556847844 1.46528676368522 -5.24995909273841 1.52132990845583e-07 2.2298135580967e-05 .
evgLocus_722176 5136.84232525021 -3.28119658643785 0.625046426675037 -5.24952458954501 1.52492244252809e-07 2.2298135580967e-05 RS27A_MANSE
evgLocus_477043 20.9084420331824 -7.67739107225112 1.47255839772858 -5.21364115955842 1.85169503450838e-07 2.64812738231781e-05 .
evgLocus_324407 64.1148187015459 -6.48293809487017 1.2480293726991 -5.19453967725903 2.05227002307324e-07 2.90306979133425e-05 ES16_MANSE
evgLocus_43021 418.274597685712 -3.99772298909483 0.769974675645223 -5.1920187969102 2.0802599514022e-07 2.91102182876863e-05 .
evgLocus_835244 22.6126261278698 -7.78950731371413 1.50640894871423 -5.17091147152486 2.32954917030144e-07 3.22518647896839e-05 .
evgLocus_52086 158.153517038867 -9.63208587968752 1.88108819196269 -5.12048606803363 3.04749132232139e-07 4.08866516172067e-05 RTJK_DROME
evgLocus_447536 546.038595155032 -5.99917261697277 1.18015286849225 -5.08338604018075 3.70765065883736e-07 4.92360874225607e-05 RTN1A_XENLA
evgLocus_760486 269.987291930872 -4.48077442437193 0.885312024988635 -5.06123750485537 4.16543934318865e-07 5.47565935477344e-05 AL1L1_XENTR
evgLocus_448125 18.6596857716583 -7.51267569400183 1.50173219490116 -5.0026733924395 5.65406875904051e-07 7.28535156734191e-05 SCO1_HUMAN
evgLocus_69060 17.9140810644072 -7.45039271230817 1.50373636127995 -4.95458705671421 7.24840587753941e-07 9.15832563983475e-05 PPAF2_HOLDI
evgLocus_763271 15.9828415917 -7.28806786732127 1.48326416549778 -4.91353329828165 8.94495323999135e-07 0.000109820397608724 .
evgLocus_146814 167.799739456928 -7.04172460050628 1.43371977835256 -4.91150691148148 9.03791011458079e-07 0.00010992463759921 ES16_MANSE
evgLocus_822239 23.5410238888521 -7.84362612517159 1.61000024641402 -4.87181672340848 1.10576722571126e-06 0.000132022519957856 RTBS_DROME
evgLocus_224651 19.5267648535747 -7.5739667272311 1.55790551712912 -4.86163419023527 1.16420617972603e-06 0.000137736174754132 .
evgLocus_642628 18.759163037401 -7.51555010667243 1.55265704806188 -4.84044439565954 1.29549101542307e-06 0.000150531429238534 .
evgLocus_449428 505.951749922661 -7.38568628038667 1.53981406307607 -4.79647930064514 1.61478635279523e-06 0.000185971943321037 .
evgLocus_842404 2095.7061099016 -9.55854851684541 2.01974509602277 -4.73255191245067 2.2171457523449e-06 0.000253104691412426 .
evgLocus_435239 378705.515159951 -3.09590112201365 0.662181449382033 -4.67530633016499 2.93515159292279e-06 0.000332157068089541 .
evgLocus_657902 38.0577340149983 -5.21718555067872 1.11730713067711 -4.66942831333851 3.02039070836671e-06 0.000338856592057624 .
evgLocus_689513 73.152602086787 -4.54072474992073 0.977092607966139 -4.64717951287386 3.36504315948937e-06 0.000374296339124741 .
evgLocus_781211 291.01273644073 -5.02978959687666 1.09366474996981 -4.59902323542519 4.24476442402321e-06 0.000464213144657462 .
evgLocus_804631 17.5404512471559 -7.42687735974344 1.62136784893183 -4.58062454157846 4.63589451852985e-06 0.000502762760534563 .
evgLocus_462396 1658.21477905228 -3.80807762533974 0.83640122862901 -4.55293164930157 5.2903465280891e-06 0.000568996443938443 SPRE_XENTR
evgLocus_660333 44.0611596075339 -6.09132029376436 1.3389425919352 -4.54935135416109 5.38115299350907e-06 0.000574019057848583 .
evgLocus_125549 441.911616513873 -2.89547713524404 0.636920379960519 -4.54605823010958 5.46599199280285e-06 0.000578328616214116 RPAB4_HUMAN
evgLocus_251811 13.3433463565892 -7.03220278033601 1.55153055045158 -4.53242946346707 5.83091497700302e-06 0.000611963931538042 .
evgLocus_456794 24.5468639860045 -5.99459220039803 1.32347487111176 -4.52943409145532 5.91418790938842e-06 0.000615737931622247 .
evgLocus_272453 12.6221232882168 -6.94958806128937 1.53541378307549 -4.52619882528937 6.00540825603151e-06 0.000620272881301541 .
evgLocus_490021 98.0035005838623 -4.54347141637118 1.01062725614131 -4.49569451918272 6.93432317181043e-06 0.000705025638733913 .
evgLocus_478021 273.289187269567 -5.68224948469314 1.27184041926398 -4.46773777482356 7.90511233140654e-06 0.00079136255293019 .
evgLocus_12751 27.097618673719 -8.04658902802626 1.81341834081549 -4.43724917020953 9.11158002225108e-06 0.0008983189576483 DDX17_DROME
evgLocus_455879 17570.9118923864 -5.79316706910827 1.31742946282065 -4.39732618147538 1.09592586385777e-05 0.00104870435237096 .
evgLocus_102679 102.621573992235 -9.00576653063981 2.05644888162155 -4.3792805214485 1.19071775623303e-05 0.00113109495471654 .
evgLocus_28673 3010.38951003996 -2.421490423064 0.554882507771379 -4.36396964970051 1.27723305041711e-05 0.00120448629841509 ATP5I_BOVIN
evgLocus_422648 70.5102875947356 -4.69714076389549 1.08128853026845 -4.34402163012801 1.39897731776932e-05 0.00128213315587675 .
evgLocus_36292 14.8339921011545 -7.18572544356422 1.65516056334913 -4.3414068717444 1.41573283120084e-05 0.00128841587868866 .
evgLocus_84232 4983.8633535021 -5.65858596466184 1.30929319322445 -4.321863119693 1.54717166060322e-05 0.00138861324076485 .
evgLocus_423375 15.2664927473898 -7.22701464642059 1.68211532367776 -4.2963847630967 1.73606150309884e-05 0.00152656110819786 .
evgLocus_476842 13.5168030863394 -7.0518908240446 1.64665921185133 -4.28254417993155 1.84768430472636e-05 0.00161380963367174 .
evgLocus_456938 10.2182766433603 -6.63988184254854 1.55317908530852 -4.27502656026919 1.91114509887493e-05 0.0016471286302489 APOP1_DROME
evgLocus_771027 16.3783526156732 -7.32816083631746 1.71407038276696 -4.27529750819676 1.90882223621555e-05 0.0016471286302489 FRI_AEDAE
evgLocus_645356 11.3587125829639 -6.80011853927135 1.60094854980327 -4.24755595056878 2.16115203602904e-05 0.00183825049652823 .
evgLocus_447082 64.53490688569 -5.18267479473576 1.22991354655085 -4.21385292427259 2.51050800067337e-05 0.00209434302056175 HMCS1_BLAGE
evgLocus_826628 36.6058903702715 -3.16983368987524 0.753904016489894 -4.20455869784815 2.61592046587661e-05 0.00216838146133237 APY_TABYA
evgLocus_490053 1774.94277910523 -8.18930731522617 1.94975269831828 -4.20017744931943 2.66705870107308e-05 0.00219677860352944 .
evgLocus_471206 4436.46623959799 -2.88328207354455 0.68797093336967 -4.19099402851554 2.77734970678657e-05 0.00225171542719095 RL44_OCHTR
evgLocus_237366 9.54769029483957 -6.54436758175693 1.58214692708626 -4.13638421926419 3.52821246064951e-05 0.00273310458112456 RTBS_DROME
evgLocus_279754 92.1294588257561 -3.94303399939219 0.993561335072514 -3.96858639744109 7.23002444022348e-05 0.00522488384272309 HMCS1_BLAGE
evgLocus_169412 11.4123251792415 -6.80825819995393 1.72251321563557 -3.95251434831043 7.73342904288837e-05 0.00552427991122094 ALDR_RABIT
evgLocus_661595 98.6335270667281 -3.80024618054991 0.961736175928206 -3.95144352023793 7.76812066815301e-05 0.00552427991122094 .
evgLocus_97911 9.62958317946092 -6.55113703864726 1.66937072598688 -3.92431527441243 8.69767688978538e-05 0.00605302497559716 CIR1_CHICK
evgLocus_543766 21.2055037286018 -7.69817698885566 1.97857664118272 -3.89076512308059 9.9928626046191e-05 0.00688079967918058 .
evgLocus_809152 11818.1422596466 -4.37604763777014 1.12895777803257 -3.87618361192947 0.000106107626110675 0.00726781392739118 .
evgLocus_762765 10.9955354720334 -6.75053962743522 1.77236033170895 -3.80878510236472 0.000139651261238199 0.00932011032694316 JUPIT_DROMO
evgLocus_1980 6.96179370799832 -6.08751485633822 1.59990917571877 -3.80491277175367 0.000141854171851691 0.0093710162054716 PPAF2_HOLDI
evgLocus_321676 60.3460210997731 -4.38194100062742 1.16110883995905 -3.77392786087304 0.000160697246246024 0.0104045470778396 .
evgLocus_265453 214.696326691155 -4.13976935836194 1.09945553075646 -3.76529040289027 0.000166355621598946 0.0106125100955328 .
evgLocus_582063 11.2302612892487 -6.78102457017465 1.80195120316586 -3.76315660394189 0.000167782060512048 0.0106512962707502 DCOR1_XENLA
evgLocus_604800 68.8986227664096 -4.29665530292394 1.1433899607263 -3.75782143495001 0.000171399119420833 0.0108280977676831 .
evgLocus_12816 8.0802076331374 -6.29587728554499 1.67705121269655 -3.75413537635608 0.000173940842453463 0.010935585138596 TPM2_BOMMO
evgLocus_645570 7.92970963889883 -6.28049210859027 1.68611904057494 -3.72482129520861 0.000195453631875401 0.012158039167706 .
evgLocus_485870 23.5679271976626 -3.78617962472458 1.02574480342135 -3.69115165106942 0.000223240980989448 0.0137040477669655 .
evgLocus_100113 275.656672640556 -3.66626314992113 0.995197829133754 -3.68395412710289 0.00022964358662214 0.0140089819276402 .
evgLocus_448733 15494.5040113966 -3.07421670259577 0.834678985247633 -3.68311261806084 0.000230403308185731 0.0140089819276402 .
evgLocus_738729 69.1462382938986 -9.40105761011618 2.56730602696005 -3.66183754931935 0.000250412638797127 0.0150873614875269 RS17_SPOFR
evgLocus_723444 87.2400757841153 -3.62115547717044 1.00339841381342 -3.60889097223926 0.000307508804733661 0.0183574292880911 TRY2_ANOGA
evgLocus_400558 6.03442089373088 -5.88581816379543 1.64611998962531 -3.57557055432827 0.000349464909822768 0.0203943333472355 F177A_HUMAN
evgLocus_256312 272.028864398451 -2.88786020568263 0.81090119429409 -3.56129726531799 0.000369026992418977 0.0214398092827704 .
evgLocus_447689 32.6395661357339 -2.67491313032837 0.751981611898784 -3.55715231330472 0.000374896806379684 0.0215198125293313 TRY2_ANOGA
evgLocus_96811 6.0075635087542 -5.88243905511561 1.65526992733257 -3.55376422780485 0.000379759501083449 0.021676272575 PPAF2_HOLDI
evgLocus_441122 89219.3267721876 -4.10531542496618 1.16327554701044 -3.52909973524041 0.000416975951325973 0.0232898069980953 .
evgLocus_340545 6.38738827975902 -5.96188764082299 1.70161612412644 -3.5036619342589 0.00045890754311306 0.0253060286698024 .
evgLocus_768098 203.16769506546 -2.83331840603222 0.81145213213713 -3.49166425697852 0.000480021215405348 0.0262478827617025 .
evgLocus_154683 8.9856107203807 -5.45857558709442 1.56963863783153 -3.47760016575247 0.000505923981456792 0.0275485133668565 .
evgLocus_42922 10.6675410713538 -6.70344414796613 1.9360139204978 -3.46249790716509 0.000535186076702976 0.0287806264554237 BCCIP_DROME
evgLocus_486367 40.5162350251641 -2.60445796787667 0.754330706087738 -3.45267393579195 0.000555059498153927 0.0293640012559968 ADCK1_HUMAN
evgLocus_615906 31.9666919437871 -4.61015084679299 1.34203502074477 -3.43519414585364 0.000592129449376531 0.0311982698550048 LDTI_HIRME
evgLocus_42154 6.53470605022011 -6.00602628098416 1.75238422548876 -3.4273455522056 0.000609512915866312 0.0319846818027588 NUCB1_MOUSE
evgLocus_453469 3410.12951867155 -3.78680422837557 1.10808540224642 -3.41742993879224 0.000632153623278427 0.0327224931035191 .
evgLocus_643472 5.1811683512135 -5.66382567572317 1.65743433678936 -3.41722477325687 0.000632630242530689 0.0327224931035191 .
evgLocus_648551 334.17069751703 -2.52463345461049 0.738889433404555 -3.41679463864821 0.000633630571852375 0.0327224931035191 CU19_LOCMI
evgLocus_757692 66.6454109655818 -2.74511128878651 0.803860253179185 -3.41491108427102 0.000638028355668048 0.0328193716231778 TF29_SCHPO
evgLocus_52507 7.68527042936025 -5.24832836033543 1.540358379451 -3.40721252297533 0.000656300036078453 0.0333604936970091 PPAF2_HOLDI
evgLocus_4872 232.672112608033 -2.48202031075112 0.731258545093838 -3.39417614659479 0.000688354017095425 0.0344547660710764 SMD1_DROME
evgLocus_126986 22.3614000302351 -3.57201623446368 1.0656539910077 -3.35194750322845 0.000802452335464157 0.0394679835366652 .
evgLocus_228912 171.07900126631 -3.13584752522137 0.937425963845914 -3.34516820118375 0.000822326841207218 0.0400815037882799 .
evgLocus_822775 122.137084802367 -3.00454719959066 0.898628024731915 -3.34348263897845 0.000827338705876992 0.0401753205906088 PRM1A_DANRE
evgLocus_422177 27.1230951105802 -3.72787331693111 1.11556451246721 -3.3416922780077 0.00083269320457302 0.0402850162242129 RTBS_DROME
evgLocus_282238 9.70667932763699 -6.56286752301795 1.96470616506548 -3.3403811927262 0.000836634686097454 0.0403257918698973 ZNRF2_DANRE
evgLocus_825277 34.3600345118095 -7.42383598929214 2.22798208702378 -3.33208962160426 0.000861964929443865 0.0412412190874355 DDX17_DROME
evgLocus_119130 16.436745157053 -3.0865001345265 0.92696428090523 -3.32968615739149 0.000869439228988595 0.0414464546742036 RTBS_DROME
evgLocus_12404 5.15155338517039 -5.65933795192752 1.70150037847856 -3.32608680168967 0.000880744962779631 0.0415290396580222 DDX5_HUMAN
evgLocus_490075 163.899643827252 -2.65453389127961 0.810439707950036 -3.27542427307038 0.00105503395254616 0.0483027450206972 COQ3_MOUSE
