baseMean log2FoldChange lfcSE stat pvalue padj protein
evgLocus_33705 99.5756423713752 -4.22348773597742 1.19835612239342 -3.52440118346628 0.000424441092739166 0.0278751036673176 .
evgLocus_686493 103.083381431994 -3.183215729952 0.903710479332425 -3.52238443921051 0.000427683454055791 0.0280021490866498 SCRT_DROME
evgLocus_66191 1565.26605124902 -0.987338447217827 0.281733655748771 -3.50451011823117 0.000457448184392886 0.0291154152242351 CNOT4_HUMAN
evgLocus_806347 20.7866242209594 -2.47566817083624 0.706747596276282 -3.5029028522772 0.000460217278259995 0.0291508087859865 BBS2_MOUSE
evgLocus_735888 60.8659642793079 -1.42543329442246 0.407169979540869 -3.50083101909871 0.000463809833559845 0.0292063780485773 HMT2_ARATH
evgLocus_313026 1414.63835274901 -2.0976034846157 0.605106926503244 -3.46650053526441 0.000527280685049721 0.031890054991284 RL32_SPOFR
evgLocus_25541 522.44255620257 -2.03109835112951 0.586526801593809 -3.46292504555678 0.000534337223140848 0.0322258026688607 BAMBI_SHEEP
evgLocus_36292 21.6878647663528 -3.52167889717504 1.01960029515922 -3.4539798722058 0.000552378600479091 0.0330347090398249 .
evgLocus_362057 379.448061766769 -5.09316580838747 1.47627287060191 -3.45001653136852 0.000560552226189812 0.0333372865631219 .
evgLocus_4457 23.1916726602308 -0.953316180045974 0.277399279665521 -3.43662096453694 0.000589019265813418 0.0346750630742595 POP5_HUMAN
evgLocus_469227 186.809293079276 -2.95899634743337 0.861077329030164 -3.43638863511376 0.00058952465945962 0.0346750630742595 VGLL4_HUMAN
evgLocus_763068 52.0487514771749 -1.27217187944552 0.372039842562241 -3.41945064454405 0.000627477143873238 0.0366056829709156 GNS_MOUSE
evgLocus_53484 42.4221965698431 -1.0343372551577 0.303713114489987 -3.40563909100408 0.000660093789332036 0.0378890295699702 B4GT7_MOUSE
evgLocus_35238 1450.94255648687 -2.13664687210678 0.627679344557834 -3.40404203297773 0.000663965353599995 0.0379750711372969 RL15_CHITE
evgLocus_244754 14.1320768900872 -3.6256544490073 1.06987139710272 -3.38886940881474 0.000701814257252726 0.039334668187908 SDC_DROME
evgLocus_456794 34.4092566071895 -3.64331653422476 1.07836074508534 -3.3785693246247 0.0007286405857112 0.0405199868573423 .
evgLocus_345381 146.123554004902 -4.31800625311344 1.27906497771664 -3.37590843963364 0.000735723989360014 0.0408079031404091 .
evgLocus_3676 5600.29842432672 -0.91666192503007 0.271829343791425 -3.37219636498636 0.000745712604975845 0.0411487290529197 ATPO_DROME
evgLocus_371962 19.4878247217912 -2.42354255893744 0.7185443009163 -3.37285057559694 0.000743943133523213 0.0411487290529197 S6A14_HUMAN
evgLocus_156954 750.534339290415 -1.44561892483689 0.430245089381121 -3.35998936540175 0.000779454728076686 0.0420490155903218 USMG5_HUMAN
evgLocus_207628 249.855594393048 -1.54986078808653 0.461281671739631 -3.35990108222062 0.000779703838830349 0.0420490155903218 HYI_DANRE
evgLocus_693566 5.67409253256139 -4.76950354216333 1.41992897117478 -3.35897332823434 0.000782326177246505 0.0420844307910745 RPR2_SCHPO
evgLocus_178560 66.2608173878101 -3.86094993384757 1.15710223549501 -3.33674053632422 0.00084767042725983 0.0447010439596871 .
evgLocus_747134 688.605676135687 -5.43587359185886 1.62908289002559 -3.33676918783025 0.000847583052764013 0.0447010439596871 .
evgLocus_341995 50.5868323790238 -1.2494880263269 0.375616458034996 -3.32649967699362 0.000879441217662994 0.0461491089955017 .
evgLocus_759002 112.763013642745 -1.25575211475146 0.378479737210681 -3.31788466142495 0.000907019297193522 0.0471341824099838 RBM12_MOUSE
evgLocus_131563 44.2369393491298 -1.57553604698839 0.475212499256666 -3.31543477802639 0.000915006902551464 0.0473195598638329 ACPH_RAT
evgLocus_609290 6.69539926254453 -6.00312739896172 1.81433893985112 -3.30871330990355 0.000937257571174652 0.0480064224852854 CU19_LOCMI
evgLocus_822239 18.441942867261 -2.14688903501289 0.650828753174843 -3.29870034865552 0.000971335376934228 0.0490478547645326 RTBS_DROME
evgLocus_1510 12.0473440869469 -3.36300435935724 1.02168006043121 -3.29164137542025 0.000996045388687209 0.0498255415228812 CTNS_HUMAN
